Name,Label,Length,Key Type,Integration Keys Supported,Integration Object Name,User Key,Required,Lookup,Description
ElementEntryId,Element Entry ID,18,Surrogate ID,Yes,ElementEntry,2 user keys,Yes,,An application generated value to uniquely identify the element entry. This is only available when updating an existing record.
AssignmentNumber,Assignment Number,30,User Key,,,,For new records,,The number that identifies the person's assignment.
CreateEntrySequence,Create Entry Sequence,18,User Key,,,,For new records,,A number to uniquely identify the element entry for the element type and assignment within the file. It's used to create the element entry while considering the entry sequence of any existing element entries for the same element type and assignment. Supply only while creating the new element entry.
ElementName,Element Name,80,User Key,,,,For new records,,"The name of the element this entry is for, such as performance bonus."
EntryType,Entry Type,30,User Key,,,,For new records,PAY_ENTRY_TYPE,"The type of record, such as element entry, or override."
EntrySequence,Existing Entry Sequence,18,User Key,,,,No,,A number to uniquely identify an existing element entry for the same element and assignment. Supply only while updating or deleting an existing element entry.
EffectiveEndDate,Effective End Date,,,,,,No,,"The end date of the date-effective changes. If left blank, the effective end date is the end of time by default."
EffectiveStartDate,Effective Start Date,,,,,,Yes,,The start date of the record or of date-effective changes to the record.
AssignmentId,Assignment ID,18,Foreign Object Reference,Yes,Assignment,AssignmentNumber,No,,A unique reference to the assignment associated with the employee.
ElementTypeId,Element Type ID,18,Foreign Object Reference,Yes,ElementType,"ElementName, AssignmentNumber",For new records,,A unique reference to the element type this entry is for.
InputValueName1,Input Value Name 1,,,,,,No,,The name of the first input value that you are providing an entry value for.
InputValueName10,Input Value Name 10,,,,,,No,,The name of the tenth input value that you are providing an entry value for.
InputValueName11,Input Value Name 11,,,,,,No,,The name of the eleventh input value that you are providing an entry value for.
InputValueName12,Input Value Name 12,,,,,,No,,The name of the twelfth input value that you are providing an entry value for.
InputValueName13,Input Value Name 13,,,,,,No,,The name of the thirteenth input value that you are providing an entry value for.
InputValueName14,Input Value Name 14,,,,,,No,,The name of the fourteenth input value that you are providing an entry value for.
InputValueName15,Input Value Name 15,,,,,,No,,The name of the fifteenth input value that you are providing an entry value for.
InputValueName16,Input Value Name 16,,,,,,No,,The name of the sixteenth input value that you are providing an entry value for.
InputValueName17,Input Value Name 17,,,,,,No,,The name of the seventeenth input value that you are providing an entry value for.
InputValueName18,Input Value Name 18,,,,,,No,,The name of the eighteenth input value that you are providing an entry value for.
InputValueName19,Input Value Name 19,,,,,,No,,The name of the nineteenth input value that you are providing an entry value for.
InputValueName2,Input Value Name 2,,,,,,No,,The name of the second input value that you are providing an entry value for.
InputValueName20,Input Value Name 20,,,,,,No,,The name of the twentieth input value that you are providing an entry value for.
InputValueName21,Input Value Name 21,,,,,,No,,The name of the twenty-first input value that you are providing an entry value for.
InputValueName22,Input Value Name 22,,,,,,No,,The name of the twenty-second input value that you are providing an entry value for.
InputValueName23,Input Value Name 23,,,,,,No,,The name of the twenty-third input value that you are providing an entry value for.
InputValueName24,Input Value Name 24,,,,,,No,,The name of the twenty-fourth input value that you are providing an entry value for.
InputValueName25,Input Value Name 25,,,,,,No,,The name of the twenty-fifth input value that you are providing an entry value for.
InputValueName26,Input Value Name 26,,,,,,No,,The name of the twenty-sixth input value that you are providing an entry value for.
InputValueName27,Input Value Name 27,,,,,,No,,The name of the twenty-seventh input value that you are providing an entry value for.
InputValueName28,Input Value Name 28,,,,,,No,,The name of the twenty-eighth input value that you are providing an entry value for.
InputValueName29,Input Value Name 29,,,,,,No,,The name of the twenty-ninth input value that you are providing an entry value for.
InputValueName3,Input Value Name 3,,,,,,No,,The name of the third input value that you are providing an entry value for.
InputValueName30,Input Value Name 30,,,,,,No,,The name of the Thirtieth input value that you are providing an entry value for.
InputValueName31,Input Value Name 31,,,,,,No,,The name of the thirty-first input value that you are providing an entry value for.
InputValueName32,Input Value Name 32,,,,,,No,,The name of the thirty-second input value that you are providing an entry value for.
InputValueName33,Input Value Name 33,,,,,,No,,The name of the thirty-third input value that you are providing an entry value for.
InputValueName34,Input Value Name 34,,,,,,No,,The name of the thirty-fourth input value that you are providing an entry value for.
InputValueName35,Input Value Name 35,,,,,,No,,The name of the thirty-fifth input value that you are providing an entry value for.
InputValueName36,Input Value Name 36,,,,,,No,,The name of the thirty-sixth input value that you are providing an entry value for.
InputValueName37,Input Value Name 37,,,,,,No,,The name of the thirty-seventh input value that you are providing an entry value for.
InputValueName38,Input Value Name 38,,,,,,No,,The name of the thirty-eighth input value that you are providing an entry value for.
InputValueName39,Input Value Name 39,,,,,,No,,The name of the thirty-ninth input value that you are providing an entry value for.
InputValueName4,Input Value Name 4,,,,,,No,,The name of the fourth input value that you are providing an entry value for.
InputValueName40,Input Value Name 40,,,,,,No,,The name of the Fortieth input value that you are providing an entry value for.
InputValueName5,Input Value Name 5,,,,,,No,,The name of the fifth input value that you are providing an entry value for.
InputValueName6,Input Value Name 6,,,,,,No,,The name of the sixth input value that you are providing an entry value for.
InputValueName7,Input Value Name 7,,,,,,No,,The name of the seventh input value that you are providing an entry value for.
InputValueName8,Input Value Name 8,,,,,,No,,The name of the eighth input value that you are providing an entry value for.
InputValueName9,Input Value Name 9,,,,,,No,,The name of the ninth input value that you are providing an entry value for.
Reason,Reason,,,,,,No,,The reason for creating or updating the element entry.
ScreenEntryValue1,Screen Entry Value 1,,,,,,No,,The entry value for the input value named by InputValueName1.
ScreenEntryValue10,Screen Entry Value 10,,,,,,No,,The entry value for the input value named by InputValueName10.
ScreenEntryValue11,Screen Entry Value 11,,,,,,No,,The entry value for the input value named by InputValueName11.
ScreenEntryValue12,Screen Entry Value 12,,,,,,No,,The entry value for the input value named by InputValueName12.
ScreenEntryValue13,Screen Entry Value 13,,,,,,No,,The entry value for the input value named by InputValueName13.
ScreenEntryValue14,Screen Entry Value 14,,,,,,No,,The entry value for the input value named by InputValueName14.
ScreenEntryValue15,Screen Entry Value 15,,,,,,No,,The entry value for the input value named by InputValueName15.
ScreenEntryValue16,Screen Entry Value 16,,,,,,No,,The entry value for the input value named by InputValueName16.
